Title,ParentID,CollaborationPeriod,ResponsibleEntity,TypeOfSubmission,StrategicPlanENG,StrategicPlanSPA,HealthAgendaENG,HealthAgendaSPA,DescriptionENG,DescriptionSPA,ExpectedResultsENG,ExpectedResultsSPA,DurationENG,DurationSPA
NSA-2025-25-WPA_7,25,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 04: Response capacity for communicable diseases; OCM 17: Elimination of communicable diseases,OCM 04: Capacidad de respuesta para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Monitoring of Oviposition Activity  
Installation and weekly monitoring of a network of ovitraps in municipalities and locations of Mundo Sano. This includes training of local personnel and the generation of reports and activity maps to guide preventive actions.","Monitoreo de Actividad de Ovipostura  
Instalación y seguimiento semanal de una red de ovitrampas en municipios y sedes de Mundo Sano. Incluye capacitación de personal local y generación de informes y mapas de actividad para orientar acciones preventivas.",,,01– 08/2025,01– 08/2025
NSA-2025-25-WPA_8,25,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 04: Response capacity for communicable diseases; OCM 17: Elimination of communicable diseases,OCM 04: Capacidad de respuesta para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Consultation Platform for the Epidemiological Monitoring of Dengue  
A tool that integrates epidemiological, entomological, climatic, environmental, and socioeconomic data to generate alert maps and guide targeted prevention and control actions.","Plataforma de Consulta para el Monitoreo Epidemiológico del Dengue  
Herramienta que integra datos epidemiológicos, entomológicos, climáticos, ambientales y socioeconómicos para generar mapas de alerta y guiar acciones de prevención y control focalizadas.",,,01 – 08/2025,01 – 08/2025
NSA-2025-25-WPA_9,25,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 04: Response capacity for communicable diseases; OCM 17: Elimination of communicable diseases,OCM 04: Capacidad de respuesta para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Villa María Project (Córdoba)  
Strengthening local capacities for surveillance and monitoring of Aedes aegypti. Includes the installation of a network of ovitraps and community and technical training workshops.","Proyecto Villa María (Córdoba)  
Fortalecimiento de capacidades locales para la vigilancia y monitoreo de Aedes aegypti. Incluye la instalación de una red de ovitrampas y talleres de capacitación comunitaria y técnica.",,,01 – 08/2025,01 – 08/2025
NSA-2025-25-WPA_10,25,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 04: Response capacity for communicable diseases; OCM 17: Elimination of communicable diseases,OCM 04: Capacidad de respuesta para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Training of local agents. Staff training for monitoring ovitraps and for the implementation of PEA-Mosquito workshops, strengthening capacities and ensuring local sustainability.","Capacitación de agentes locales. Formación de personal para el monitoreo de ovitrampas y para la implementación de talleres PEA-Mosquito a Raya, fortaleciendo capacidades y garantizando sostenibilidad local.",,,01 – 08/2025,01 – 08/2025
NSA-2025-25-WPA_11,25,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 04: Response capacity for communicable diseases; OCM 17: Elimination of communicable diseases,OCM 04: Capacidad de respuesta para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"San Antonio de Areco Project: Entomological surveillance on the composition, abundance, and population dynamics of mosquitoes of public health interest, as part of Integrated Vector Management and under a One Health approach.","Proyecto San Antonio de Areco: Vigilancia entomológica sobre composición, abundancia y dinámica poblacional de mosquitos de interés sanitario, como parte del Manejo Integrado de Vectores y bajo enfoque Una Salud.",,,01- 05/2025,01- 05/2025
NSA-2025-25-WPA_12,25,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 04: Response capacity for communicable diseases; OCM 17: Elimination of communicable diseases,OCM 04: Capacidad de respuesta para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Prevention in Action: Keeping Mosquitoes at Bay  
An educational program aimed at raising awareness among children about mosquito-borne diseases, implemented through in-person workshops with a pedagogical kit and remote learning with an educational kit. It promotes community prevention and encourages change agents.","Prevención en Acción: Mosquito a Raya  
Programa educativo para concientizar a niños y niñas sobre enfermedades transmitidas por mosquitos, implementado mediante talleres presenciales con valija pedagógica y modalidad remota con kit educativo. Promueve la prevención comunitaria y agentes de cambio.",,,02-08/2025,02-08/2025
NSA-2025-25-WPA_13,25,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 04: Response capacity for communicable diseases; OCM 17: Elimination of communicable diseases,OCM 04: Capacidad de respuesta para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Aedes aegypti Surveillance and Control Program – Municipality of Tartagal  
Continuous monitoring of vector infestation and epidemiological risk through larval sampling, ovitraps, and focus blocking in response to suspected cases. Includes campaigns for waste removal and data analysis to guide local decision-making.","Programa de Vigilancia y Control de Aedes aegypti – Municipio de Tartagal  
Monitoreo continuo de infestación vectorial y riesgo epidemiológico mediante muestreos larvarios, ovitrampas y bloqueos de foco ante casos sospechosos. Incluye campañas de descacharrado y análisis de datos para orientar decisiones locales.",,,12/2024 – 05/2025,12/2024 – 05/2025
NSA-2025-25-WPA_14,25,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 04: Response capacity for communicable diseases; OCM 17: Elimination of communicable diseases,OCM 04: Capacidad de respuesta para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Monitoring of Oviposition Activity  
Installation and weekly monitoring of an ovitrap network in municipalities and locations of Mundo Sano. This includes training of local personnel and the generation of reports and activity maps to guide preventive actions.","Monitoreo de Actividad de Ovipostura  
Instalación y seguimiento semanal de una red de ovitrampas en municipios y sedes de Mundo Sano. Incluye capacitación de personal local y generación de informes y mapas de actividad para orientar acciones preventivas.",,,01 – 08/2025,01 – 08/2025
NSA-2025-25-WPA_15,25,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 04: Response capacity for communicable diseases; OCM 17: Elimination of communicable diseases,OCM 04: Capacidad de respuesta para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Mundo Sano, together with national and international researchers, develops activities to generate evidence that guides public health actions. It focuses on mapping the prevalence of geohelminths, identifying species, and improving diagnosis and treatment. In Puerto Iguazú (Argentina), a pilot study was conducted using a rapid test for S. stercoralis.","Mundo Sano, junto a investigadores nacionales e internacionales, desarrolla actividades para generar evidencia que guíe acciones de salud pública. Se enfoca en mapear la prevalencia de geohelmintos, identificar especies y mejorar diagnóstico y tratamiento. En Puerto Iguazú (Argentina) se realizó un estudio piloto con prueba rápida para S. stercoralis.",,,01 - 08/2025,01 - 08/2025
NSA-2025-25-WPA_16,25,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 04: Response capacity for communicable diseases; OCM 17: Elimination of communicable diseases,OCM 04: Capacidad de respuesta para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Collaboration with academic and industry partners for the development of an orodispersible tablet with ivermectin and albendazole, for effective treatment against all species of geohelminths. It aims to facilitate distribution and improve adherence in mass deworming programs.","Colaboración con socios académicos e industriales para el desarrollo de un comprimido orodispersable con ivermectina y albendazol, para un tratamiento efectivo contra todas las especies de geohelmintos. Busca facilitar la distribución y mejorar la adherencia en programas de desparasitación masiva.",,,01- 08/2025,01- 08/2025
NSA-2025-25-WPA_17,25,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 04: Response capacity for communicable diseases; OCM 17: Elimination of communicable diseases,OCM 04: Capacidad de respuesta para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Implementation of a home-based model to identify, assess, and provide chemoprophylaxis to household contacts of patients with Hansen's disease, in coordination with the SAMIC Hospital in Puerto Iguazú.","Implementación de un modelo domiciliario para identificar, evaluar y brindar quimioprofilaxis a contactos convivientes de pacientes con enfermedad de Hansen, en coordinación con el Hospital SAMIC de Puerto Iguazú.",,,01– 08/2025,01– 08/2025
NSA-2025-25-WPA_18,25,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 04: Response capacity for communicable diseases; OCM 17: Elimination of communicable diseases,OCM 04: Capacidad de respuesta para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Rabies vaccination and deworming campaigns for canines and felines in rural and urban areas of Añatuya (Santiago del Estero) and Pampa del Indio (Chaco). Includes clinical evaluation of the animals. Activity carried out in partnership with Biogénesis Bagó, under the ""One Health"" approach.","Campañas de vacunación antirrábica y desparasitación de caninos y felinos en zonas rurales y urbanas de Añatuya (Santiago del Estero) y Pampa del Indio (Chaco). Incluye evaluación clínica de los animales. Actividad realizada en convenio con Biogénesis Bagó, bajo el enfoque “Una Salud”.",,,04 - 08/2025,04 - 08/2025
NSA-2025-25-WPA_19,25,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 04: Response capacity for communicable diseases; OCM 17: Elimination of communicable diseases,OCM 04: Capacidad de respuesta para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Mundo Sano participates in global and regional initiatives coordinated by PAHO and strategic allies, strengthening actions for the elimination of neglected infectious diseases in Latin America.","Mundo Sano participates in global and regional initiatives coordinated by PAHO and strategic allies, strengthening actions for the elimination of neglected infectious diseases in Latin America.",,,01 – 08/2025,01 – 08/2025
NSA-2025-32-WPA_1,32,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 08: Access to health technologies; OCM 17: Elimination of communicable diseases,OCM 08: Acceso a tecnologías de salud; OCM 17: Eliminación de enfermedades transmisibles,"Goal 5: Medicines, Vaccines, and Technologies; Goal 10: Communicable Diseases","Meta 5: Medicamentos, Vacunas y Tecnologías; Meta 10: Enfermedades Transmisibles","A1: Support the PAHO Radical Cure Working Group  
PATH continued its collaboration with Medicines for Malaria Venture to annually bring together Member States to share regionally developed evidence on radical cure for P. vivax malaria and lessons learned as countries start to implement innovative treatment and diagnostic technologies. The goal is to accelerate the strategic introduction of new technologies into health systems to support the elimination of P. vivax in the Americas.","A1: Apoyar al Grupo de Trabajo sobre Cura Radical de la OPS  
PATH continuó la colaboración con Medicines for Malaria Venture para convocar anualmente a los Estados Miembros a compartir evidencia desarrollada regionalmente sobre la cura radical para la malaria por P. vivax y las lecciones aprendidas a medida que los países comienzan a introducir tecnologías innovadoras de tratamiento y diagnóstico. El objetivo es acelerar la introducción estratégica de nuevas tecnologías en los sistemas de salud para apoyar la eliminación de P. vivax en las Américas.",,,01/2025-12/2025,01/2025-12/2025
NSA-2025-32-WPA_2,32,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 08: Access to health technologies; OCM 17: Elimination of communicable diseases,OCM 08: Acceso a tecnologías de salud; OCM 17: Eliminación de enfermedades transmisibles,"Goal 5: Medicines, Vaccines, and Technologies; Goal 10: Communicable Diseases","Meta 5: Medicamentos, Vacunas y Tecnologías; Meta 10: Enfermedades Transmisibles","A2: Introduction of and access to next-generation RDTs  
PATH supports the development and access to next-generation malaria rapid diagnostic tests (RDTs) to contribute to PAHO’s efforts to reduce the time between the onset of malaria symptoms and diagnosis. This work addresses the technical challenge of hrp2/hrp3 gene deletion in P. falciparum, which affects the sensitivity of current RDTs, as well as the lower sensitivity of RDTs for detecting P. vivax malaria.","A2: Introducción y acceso a pruebas diagnósticas rápidas de próxima generación  
PATH apoya el desarrollo y el acceso a pruebas diagnósticas rápidas (RDT) de malaria de próxima generación para contribuir a los esfuerzos de la OPS para reducir el tiempo entre la aparición de los síntomas de malaria y el diagnóstico. Este trabajo aborda el desafío técnico de la deleción del gen hrp2/hrp3 en P. falciparum, que afecta la sensibilidad de las RDT actuales, así como la menor sensibilidad de las RDT para detectar la malaria por P. vivax.",,,01/2025-12/2025,01/2025-12/2025
NSA-2025-48-WPA_1,48,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 08: Access to health technologies; OCM 17: Elimination of communicable diseases,OCM 08: Acceso a tecnologías de salud; OCM 17: Eliminación de enfermedades transmisibles,"Goal 10: Communicable Diseases; Goal 5: Medicines, Vaccines, and Technologies","Meta 10: Enfermedades Transmisibles; Meta 5: Medicamentos, Vacunas y Tecnologías",Accompany PAHO in promoting Radical Cure (RC) on the main technical and strategic platforms in the region and updating countries on the latest advances in new technologies in RC.,Acompañar a la OPS en la promoción de la Cura Radical (RC) en las principales plataformas técnicas y estratégicas de la región y actualizar a los países sobre los últimos avances en nuevas tecnologías en RC.,,,01-12/2025,01-12/2025
NSA-2025-32-WPA_3,32,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 08: Access to health technologies; OCM 17: Elimination of communicable diseases,OCM 08: Acceso a tecnologías de salud; OCM 17: Eliminación de enfermedades transmisibles,"Goal 5: Medicines, Vaccines, and Technologies; Goal 10: Communicable Diseases","Meta 5: Medicamentos, Vacunas y Tecnologías; Meta 10: Enfermedades Transmisibles","A3: PATH, in collaboration with PAHO, is supporting the Ministry of Health of Colombia with chemoprevention activities following PAHO/WHO recommendations. Through the PMI REACH project, PATH is assisting in the introduction of chemoprevention interventions in Colombia, providing technical and operational support in the planning, implementation, and evaluation of a chemoprevention strategy for Plasmodium falciparum.","A3: PATH, en colaboración con la OPS, está apoyando al Ministerio de Salud de Colombia con actividades de quimioprevención siguiendo las recomendaciones de la OPS/OMS. A través del proyecto PMI REACH, PATH está apoyando la introducción de intervenciones de quimioprevención en Colombia, proporcionando apoyo técnico y operativo en la planificación, implementación y evaluación de una estrategia de quimioprevención para Plasmodium falciparum.",,,01/2025-12/2025,01/2025-12/2025
NSA-2025-48-WPA_2,48,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 08: Access to health technologies; OCM 17: Elimination of communicable diseases,OCM 08: Acceso a tecnologías de salud; OCM 17: Eliminación de enfermedades transmisibles,"Goal 10: Communicable Diseases; Goal 5: Medicines, Vaccines, and Technologies","Meta 10: Enfermedades Transmisibles; Meta 5: Medicamentos, Vacunas y Tecnologías","Support PAHO in accelerating the development of technical recommendations for the Region of the Americas related to new technologies, including TQ (adult and pediatric), following the issuance of updated WHO recommendations on P. vivax RC.","Apoyar a la OPS en la aceleración del desarrollo de recomendaciones técnicas para la Región de las Américas relacionadas con nuevas tecnologías, incluyendo TQ (adulto y pediátrico), tras la emisión de las recomendaciones actualizadas de la OMS sobre P. vivax RC.",,,01-12/2025,01-12/2025
NSA-2025-32-WPA_4,32,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 08: Access to health technologies; OCM 17: Elimination of communicable diseases,OCM 08: Acceso a tecnologías de salud; OCM 17: Eliminación de enfermedades transmisibles,"Goal 5: Medicines, Vaccines, and Technologies; Goal 10: Communicable Diseases","Meta 5: Medicamentos, Vacunas y Tecnologías; Meta 10: Enfermedades Transmisibles","A4: Improved methodology for conducting research in areas of low to very low malaria transmission  
PATH supported the development of a guidance document on how to design and analyze evaluations of chemoprevention interventions in areas with low to very low levels of malaria transmission. While the webinar was covered in PATH’s 2024 NSA report, this 2025 report highlights the collateral materials that were co-developed with WHO, resulting from the webinar.","A4: Metodología mejorada para llevar a cabo investigaciones en áreas de transmisión de malaria baja a muy baja  
PATH apoyó el desarrollo de un documento de orientación sobre cómo diseñar y analizar evaluaciones de intervenciones de quimioprevención en áreas con niveles de transmisión de malaria bajos a muy bajos. Si bien el seminario web fue cubierto en el informe NSA de PATH de 2024, este informe de 2025 destaca los materiales colaterales que fueron co-desarrollados con la OMS, como resultado del seminario web.",,,01/2025-12/2025,01/2025-12/2025
NSA-2025-48-WPA_3,48,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 08: Access to health technologies; OCM 17: Elimination of communicable diseases,OCM 08: Acceso a tecnologías de salud; OCM 17: Eliminación de enfermedades transmisibles,"Goal 10: Communicable Diseases; Goal 5: Medicines, Vaccines, and Technologies","Meta 10: Enfermedades Transmisibles; Meta 5: Medicamentos, Vacunas y Tecnologías","Generation and sharing of evidence regarding the implementation of new technologies for P. vivax malaria that can help to reduce case burden in high burden settings; elimination, near elimination, and prevention of re-establishment settings.","Generación y compartición de evidencia sobre la implementación de nuevas tecnologías para la malaria por P. vivax que pueden ayudar a reducir la carga de casos en entornos de alta carga; eliminación, casi eliminación y prevención de reestablecimiento en entornos.",,,09/2025,09/2025
NSA-2025-55-WPA_1,55,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 19: Health promotion and intersectoral action; OCM 01: Access to comprehensive and quality health services; OCM 13: Risk factors for non-communicable diseases (NCDs),OCM 19: Promoción de la salud y acción intersectorial; OCM 01: Acceso a servicios de salud integrales y de calidad; OCM 13: Factores de riesgo para las enfermedades no transmisibles.,Goal 9: Noncommunicable Diseases; Goal 6: Information Systems for Health,Objetivo 9: Enfermedades no transmisibles; Objetivo 6: Sistemas de información para la salud,"Webinar organized by SLANH with an invitation to OPS: title: Situation of Diabetic Kidney Disease in Latin America, on the occasion of World Kidney Day. Date: March 12, 2025.","Webinar organizado por SLANH con invitación a OPS: título: Situación de la Enfermedad Renal Diabética en América Latina, a propósito del Día Mundial del Riñón. Fecha: 12 de marzo de 2025.",,,03/2025,03/2025
NSA-2025-55-WPA_2,55,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 19: Health promotion and intersectoral action; OCM 01: Access to comprehensive and quality health services; OCM 13: Risk factors for non-communicable diseases (NCDs),OCM 19: Promoción de la salud y acción intersectorial; OCM 01: Acceso a servicios de salud integrales y de calidad; OCM 13: Factores de riesgo para las enfermedades no transmisibles.,Goal 9: Noncommunicable Diseases; Goal 6: Information Systems for Health,Objetivo 9: Enfermedades no transmisibles; Objetivo 6: Sistemas de información para la salud,"Consolidation, strengthening, and dissemination of national dialysis and transplant registries in Latin America in collaboration with ministries, national societies, SLANH, COMINSCA, ORAS COHNU, INCUCAI, and participation in meetings of representatives from PAHO.","Consolidation, strengthening, and dissemination of national dialysis and transplant registries in Latin America in collaboration with ministries, national societies, SLANH, COMINSCA, ORAS COHNU, INCUCAI, and participation in meetings of representatives of PAHO.",,,01-12/2025,01-12/2025
